@relation linear_regression_finalmarks-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6

@attribute StudyHours {'\'(-inf-1.8]\'','\'(1.8-2.6]\'','\'(2.6-3.4]\'','\'(3.4-4.2]\'','\'(4.2-5]\'','\'(5-5.8]\'','\'(5.8-6.6]\'','\'(6.6-7.4]\'','\'(7.4-8.2]\'','\'(8.2-inf)\''}
@attribute Attendance {'\'(-inf-63.9]\'','\'(63.9-67.8]\'','\'(67.8-71.7]\'','\'(71.7-75.6]\'','\'(75.6-79.5]\'','\'(79.5-83.4]\'','\'(83.4-87.3]\'','\'(87.3-91.2]\'','\'(91.2-95.1]\'','\'(95.1-inf)\''}
@attribute InternalMarks {'\'(-inf-11.9]\'','\'(11.9-13.8]\'','\'(13.8-15.7]\'','\'(15.7-17.6]\'','\'(17.6-19.5]\'','\'(19.5-21.4]\'','\'(21.4-23.3]\'','\'(23.3-25.2]\'','\'(25.2-27.1]\'','\'(27.1-inf)\''}
@attribute Projects {'\'(-inf-1.3]\'','\'(1.3-1.6]\'','\'(1.6-1.9]\'','\'(1.9-2.2]\'','\'(2.2-2.5]\'','\'(2.5-2.8]\'','\'(2.8-3.1]\'','\'(3.1-3.4]\'','\'(3.4-3.7]\'','\'(3.7-inf)\''}
@attribute FinalMarks numeric

@data
'\'(2.6-3.4]\'','\'(75.6-79.5]\'','\'(21.4-23.3]\'','\'(2.8-3.1]\'',77.38
'\'(-inf-1.8]\'','\'(83.4-87.3]\'','\'(13.8-15.7]\'','\'(-inf-1.3]\'',59.07
'\'(2.6-3.4]\'','\'(87.3-91.2]\'','\'(25.2-27.1]\'','\'(3.7-inf)\'',78.67
'\'(3.4-4.2]\'','\'(79.5-83.4]\'','\'(13.8-15.7]\'','\'(3.7-inf)\'',66.02
'\'(1.8-2.6]\'','\'(71.7-75.6]\'','\'(11.9-13.8]\'','\'(1.9-2.2]\'',61.34
'\'(-inf-1.8]\'','\'(95.1-inf)\'','\'(13.8-15.7]\'','\'(3.7-inf)\'',66.32
'\'(6.6-7.4]\'','\'(75.6-79.5]\'','\'(25.2-27.1]\'','\'(2.8-3.1]\'',82.84
'\'(7.4-8.2]\'','\'(63.9-67.8]\'','\'(27.1-inf)\'','\'(1.9-2.2]\'',86.94
'\'(6.6-7.4]\'','\'(75.6-79.5]\'','\'(27.1-inf)\'','\'(-inf-1.3]\'',83.04
'\'(4.2-5]\'','\'(63.9-67.8]\'','\'(19.5-21.4]\'','\'(1.9-2.2]\'',72.37
'\'(-inf-1.8]\'','\'(-inf-63.9]\'','\'(17.6-19.5]\'','\'(2.8-3.1]\'',60.2
'\'(6.6-7.4]\'','\'(-inf-63.9]\'','\'(-inf-11.9]\'','\'(2.8-3.1]\'',62.22
'\'(6.6-7.4]\'','\'(95.1-inf)\'','\'(25.2-27.1]\'','\'(1.9-2.2]\'',87.51
'\'(8.2-inf)\'','\'(71.7-75.6]\'','\'(11.9-13.8]\'','\'(-inf-1.3]\'',64.96
'\'(2.6-3.4]\'','\'(91.2-95.1]\'','\'(17.6-19.5]\'','\'(1.9-2.2]\'',77.85
'\'(8.2-inf)\'','\'(91.2-95.1]\'','\'(15.7-17.6]\'','\'(-inf-1.3]\'',70.93
'\'(-inf-1.8]\'','\'(83.4-87.3]\'','\'(-inf-11.9]\'','\'(1.9-2.2]\'',47.18
'\'(-inf-1.8]\'','\'(79.5-83.4]\'','\'(25.2-27.1]\'','\'(2.8-3.1]\'',79.4
'\'(3.4-4.2]\'','\'(67.8-71.7]\'','\'(-inf-11.9]\'','\'(3.7-inf)\'',62.23
'\'(8.2-inf)\'','\'(75.6-79.5]\'','\'(19.5-21.4]\'','\'(3.7-inf)\'',83.66
'\'(5.8-6.6]\'','\'(71.7-75.6]\'','\'(17.6-19.5]\'','\'(-inf-1.3]\'',67.31
'\'(2.6-3.4]\'','\'(71.7-75.6]\'','\'(15.7-17.6]\'','\'(-inf-1.3]\'',62.67
'\'(-inf-1.8]\'','\'(83.4-87.3]\'','\'(25.2-27.1]\'','\'(-inf-1.3]\'',78.55
'\'(3.4-4.2]\'','\'(63.9-67.8]\'','\'(25.2-27.1]\'','\'(2.8-3.1]\'',74.25
'\'(8.2-inf)\'','\'(83.4-87.3]\'','\'(-inf-11.9]\'','\'(1.9-2.2]\'',71.52
'\'(2.6-3.4]\'','\'(75.6-79.5]\'','\'(13.8-15.7]\'','\'(2.8-3.1]\'',71.36
'\'(8.2-inf)\'','\'(87.3-91.2]\'','\'(21.4-23.3]\'','\'(3.7-inf)\'',93.32
'\'(6.6-7.4]\'','\'(63.9-67.8]\'','\'(13.8-15.7]\'','\'(-inf-1.3]\'',58.7
'\'(3.4-4.2]\'','\'(71.7-75.6]\'','\'(-inf-11.9]\'','\'(1.9-2.2]\'',51.07
'\'(2.6-3.4]\'','\'(83.4-87.3]\'','\'(-inf-11.9]\'','\'(3.7-inf)\'',61
'\'(4.2-5]\'','\'(63.9-67.8]\'','\'(17.6-19.5]\'','\'(3.7-inf)\'',78.48
'\'(4.2-5]\'','\'(-inf-63.9]\'','\'(13.8-15.7]\'','\'(3.7-inf)\'',64.4
'\'(2.6-3.4]\'','\'(87.3-91.2]\'','\'(-inf-11.9]\'','\'(2.8-3.1]\'',62.35
'\'(8.2-inf)\'','\'(79.5-83.4]\'','\'(23.3-25.2]\'','\'(-inf-1.3]\'',82.92
'\'(3.4-4.2]\'','\'(-inf-63.9]\'','\'(-inf-11.9]\'','\'(3.7-inf)\'',63.02
'\'(4.2-5]\'','\'(75.6-79.5]\'','\'(17.6-19.5]\'','\'(-inf-1.3]\'',63.97
'\'(3.4-4.2]\'','\'(71.7-75.6]\'','\'(-inf-11.9]\'','\'(2.8-3.1]\'',56.68
'\'(4.2-5]\'','\'(83.4-87.3]\'','\'(23.3-25.2]\'','\'(3.7-inf)\'',90.85
'\'(6.6-7.4]\'','\'(87.3-91.2]\'','\'(23.3-25.2]\'','\'(2.8-3.1]\'',80.5
'\'(8.2-inf)\'','\'(71.7-75.6]\'','\'(27.1-inf)\'','\'(2.8-3.1]\'',95.27
'\'(6.6-7.4]\'','\'(63.9-67.8]\'','\'(15.7-17.6]\'','\'(-inf-1.3]\'',60.1
'\'(4.2-5]\'','\'(75.6-79.5]\'','\'(19.5-21.4]\'','\'(3.7-inf)\'',79.38
'\'(6.6-7.4]\'','\'(75.6-79.5]\'','\'(23.3-25.2]\'','\'(2.8-3.1]\'',84.44
'\'(4.2-5]\'','\'(91.2-95.1]\'','\'(15.7-17.6]\'','\'(3.7-inf)\'',89.53
'\'(2.6-3.4]\'','\'(67.8-71.7]\'','\'(13.8-15.7]\'','\'(-inf-1.3]\'',54.43
'\'(6.6-7.4]\'','\'(95.1-inf)\'','\'(17.6-19.5]\'','\'(2.8-3.1]\'',93.31
'\'(1.8-2.6]\'','\'(79.5-83.4]\'','\'(11.9-13.8]\'','\'(-inf-1.3]\'',56.73
'\'(8.2-inf)\'','\'(-inf-63.9]\'','\'(27.1-inf)\'','\'(3.7-inf)\'',89.29
'\'(-inf-1.8]\'','\'(79.5-83.4]\'','\'(25.2-27.1]\'','\'(3.7-inf)\'',82.55
'\'(5.8-6.6]\'','\'(63.9-67.8]\'','\'(15.7-17.6]\'','\'(-inf-1.3]\'',62.08
'\'(6.6-7.4]\'','\'(67.8-71.7]\'','\'(27.1-inf)\'','\'(1.9-2.2]\'',89.71
'\'(7.4-8.2]\'','\'(71.7-75.6]\'','\'(11.9-13.8]\'','\'(2.8-3.1]\'',66.03
'\'(8.2-inf)\'','\'(75.6-79.5]\'','\'(21.4-23.3]\'','\'(3.7-inf)\'',98.75
'\'(1.8-2.6]\'','\'(63.9-67.8]\'','\'(27.1-inf)\'','\'(3.7-inf)\'',87.23
'\'(1.8-2.6]\'','\'(79.5-83.4]\'','\'(23.3-25.2]\'','\'(2.8-3.1]\'',76.66
'\'(4.2-5]\'','\'(75.6-79.5]\'','\'(15.7-17.6]\'','\'(-inf-1.3]\'',74.75
'\'(4.2-5]\'','\'(87.3-91.2]\'','\'(23.3-25.2]\'','\'(-inf-1.3]\'',80.57
'\'(5.8-6.6]\'','\'(75.6-79.5]\'','\'(27.1-inf)\'','\'(-inf-1.3]\'',91.59
'\'(2.6-3.4]\'','\'(87.3-91.2]\'','\'(21.4-23.3]\'','\'(1.9-2.2]\'',77.69
'\'(7.4-8.2]\'','\'(95.1-inf)\'','\'(17.6-19.5]\'','\'(1.9-2.2]\'',84.07
'\'(-inf-1.8]\'','\'(87.3-91.2]\'','\'(15.7-17.6]\'','\'(3.7-inf)\'',69.39
'\'(5.8-6.6]\'','\'(67.8-71.7]\'','\'(25.2-27.1]\'','\'(-inf-1.3]\'',79.98
'\'(3.4-4.2]\'','\'(83.4-87.3]\'','\'(-inf-11.9]\'','\'(2.8-3.1]\'',63.05
'\'(-inf-1.8]\'','\'(91.2-95.1]\'','\'(11.9-13.8]\'','\'(3.7-inf)\'',59.25
'\'(6.6-7.4]\'','\'(95.1-inf)\'','\'(15.7-17.6]\'','\'(2.8-3.1]\'',79.09
'\'(8.2-inf)\'','\'(63.9-67.8]\'','\'(19.5-21.4]\'','\'(3.7-inf)\'',83.52
'\'(3.4-4.2]\'','\'(67.8-71.7]\'','\'(-inf-11.9]\'','\'(1.9-2.2]\'',55.15
'\'(3.4-4.2]\'','\'(79.5-83.4]\'','\'(17.6-19.5]\'','\'(3.7-inf)\'',75.65
'\'(5.8-6.6]\'','\'(79.5-83.4]\'','\'(27.1-inf)\'','\'(1.9-2.2]\'',96.27
'\'(2.6-3.4]\'','\'(75.6-79.5]\'','\'(11.9-13.8]\'','\'(3.7-inf)\'',66.04
'\'(5.8-6.6]\'','\'(67.8-71.7]\'','\'(13.8-15.7]\'','\'(-inf-1.3]\'',62.32
'\'(6.6-7.4]\'','\'(87.3-91.2]\'','\'(15.7-17.6]\'','\'(2.8-3.1]\'',84.71
'\'(2.6-3.4]\'','\'(71.7-75.6]\'','\'(27.1-inf)\'','\'(-inf-1.3]\'',88.57
'\'(6.6-7.4]\'','\'(71.7-75.6]\'','\'(25.2-27.1]\'','\'(3.7-inf)\'',81.78
'\'(2.6-3.4]\'','\'(79.5-83.4]\'','\'(19.5-21.4]\'','\'(3.7-inf)\'',79.96
'\'(1.8-2.6]\'','\'(83.4-87.3]\'','\'(27.1-inf)\'','\'(3.7-inf)\'',83.64
'\'(3.4-4.2]\'','\'(75.6-79.5]\'','\'(13.8-15.7]\'','\'(1.9-2.2]\'',66.7
'\'(7.4-8.2]\'','\'(91.2-95.1]\'','\'(27.1-inf)\'','\'(2.8-3.1]\'',100
'\'(8.2-inf)\'','\'(67.8-71.7]\'','\'(19.5-21.4]\'','\'(2.8-3.1]\'',76.82
'\'(6.6-7.4]\'','\'(95.1-inf)\'','\'(19.5-21.4]\'','\'(3.7-inf)\'',80.94
'\'(-inf-1.8]\'','\'(87.3-91.2]\'','\'(17.6-19.5]\'','\'(3.7-inf)\'',76.98
'\'(2.6-3.4]\'','\'(91.2-95.1]\'','\'(15.7-17.6]\'','\'(1.9-2.2]\'',69.78
'\'(8.2-inf)\'','\'(-inf-63.9]\'','\'(17.6-19.5]\'','\'(-inf-1.3]\'',62.46
'\'(-inf-1.8]\'','\'(91.2-95.1]\'','\'(11.9-13.8]\'','\'(-inf-1.3]\'',69.25
'\'(8.2-inf)\'','\'(91.2-95.1]\'','\'(13.8-15.7]\'','\'(2.8-3.1]\'',82.22
'\'(7.4-8.2]\'','\'(71.7-75.6]\'','\'(15.7-17.6]\'','\'(1.9-2.2]\'',76.45
'\'(-inf-1.8]\'','\'(87.3-91.2]\'','\'(17.6-19.5]\'','\'(3.7-inf)\'',77.53
'\'(5.8-6.6]\'','\'(91.2-95.1]\'','\'(23.3-25.2]\'','\'(2.8-3.1]\'',85.2
'\'(4.2-5]\'','\'(71.7-75.6]\'','\'(23.3-25.2]\'','\'(1.9-2.2]\'',78.25
'\'(5.8-6.6]\'','\'(83.4-87.3]\'','\'(23.3-25.2]\'','\'(-inf-1.3]\'',75.9
'\'(4.2-5]\'','\'(79.5-83.4]\'','\'(21.4-23.3]\'','\'(1.9-2.2]\'',75.76
'\'(5.8-6.6]\'','\'(95.1-inf)\'','\'(15.7-17.6]\'','\'(-inf-1.3]\'',76.33
'\'(4.2-5]\'','\'(-inf-63.9]\'','\'(25.2-27.1]\'','\'(1.9-2.2]\'',70.47
'\'(4.2-5]\'','\'(95.1-inf)\'','\'(17.6-19.5]\'','\'(2.8-3.1]\'',76.92
'\'(3.4-4.2]\'','\'(95.1-inf)\'','\'(27.1-inf)\'','\'(-inf-1.3]\'',83.76
'\'(2.6-3.4]\'','\'(83.4-87.3]\'','\'(13.8-15.7]\'','\'(2.8-3.1]\'',67.21
'\'(2.6-3.4]\'','\'(71.7-75.6]\'','\'(19.5-21.4]\'','\'(2.8-3.1]\'',75.07
'\'(3.4-4.2]\'','\'(91.2-95.1]\'','\'(-inf-11.9]\'','\'(-inf-1.3]\'',63.61
'\'(8.2-inf)\'','\'(95.1-inf)\'','\'(15.7-17.6]\'','\'(-inf-1.3]\'',84.19
'\'(1.8-2.6]\'','\'(67.8-71.7]\'','\'(23.3-25.2]\'','\'(3.7-inf)\'',84.36
'\'(8.2-inf)\'','\'(-inf-63.9]\'','\'(11.9-13.8]\'','\'(3.7-inf)\'',72.64
'\'(-inf-1.8]\'','\'(63.9-67.8]\'','\'(21.4-23.3]\'','\'(3.7-inf)\'',78.94
'\'(-inf-1.8]\'','\'(67.8-71.7]\'','\'(11.9-13.8]\'','\'(2.8-3.1]\'',53.5
'\'(4.2-5]\'','\'(63.9-67.8]\'','\'(25.2-27.1]\'','\'(2.8-3.1]\'',81.63
'\'(5.8-6.6]\'','\'(67.8-71.7]\'','\'(19.5-21.4]\'','\'(3.7-inf)\'',80.44
'\'(5.8-6.6]\'','\'(95.1-inf)\'','\'(15.7-17.6]\'','\'(2.8-3.1]\'',78.32
'\'(2.6-3.4]\'','\'(87.3-91.2]\'','\'(13.8-15.7]\'','\'(2.8-3.1]\'',77.26
'\'(6.6-7.4]\'','\'(87.3-91.2]\'','\'(-inf-11.9]\'','\'(-inf-1.3]\'',69.45
'\'(8.2-inf)\'','\'(67.8-71.7]\'','\'(-inf-11.9]\'','\'(-inf-1.3]\'',65.55
'\'(7.4-8.2]\'','\'(63.9-67.8]\'','\'(15.7-17.6]\'','\'(2.8-3.1]\'',74.76
'\'(5.8-6.6]\'','\'(63.9-67.8]\'','\'(13.8-15.7]\'','\'(3.7-inf)\'',66.06
'\'(7.4-8.2]\'','\'(83.4-87.3]\'','\'(23.3-25.2]\'','\'(1.9-2.2]\'',93.11
'\'(4.2-5]\'','\'(75.6-79.5]\'','\'(19.5-21.4]\'','\'(3.7-inf)\'',73.06
'\'(7.4-8.2]\'','\'(63.9-67.8]\'','\'(13.8-15.7]\'','\'(1.9-2.2]\'',74.47
'\'(3.4-4.2]\'','\'(67.8-71.7]\'','\'(11.9-13.8]\'','\'(3.7-inf)\'',62.61
'\'(7.4-8.2]\'','\'(75.6-79.5]\'','\'(13.8-15.7]\'','\'(-inf-1.3]\'',71.23
'\'(1.8-2.6]\'','\'(71.7-75.6]\'','\'(21.4-23.3]\'','\'(2.8-3.1]\'',68.95
'\'(4.2-5]\'','\'(-inf-63.9]\'','\'(27.1-inf)\'','\'(2.8-3.1]\'',87.01
'\'(8.2-inf)\'','\'(63.9-67.8]\'','\'(17.6-19.5]\'','\'(-inf-1.3]\'',69.73
'\'(3.4-4.2]\'','\'(79.5-83.4]\'','\'(19.5-21.4]\'','\'(1.9-2.2]\'',77.05
'\'(5.8-6.6]\'','\'(83.4-87.3]\'','\'(19.5-21.4]\'','\'(1.9-2.2]\'',81.29
'\'(-inf-1.8]\'','\'(-inf-63.9]\'','\'(21.4-23.3]\'','\'(1.9-2.2]\'',61.86
'\'(8.2-inf)\'','\'(71.7-75.6]\'','\'(23.3-25.2]\'','\'(-inf-1.3]\'',79.28
'\'(-inf-1.8]\'','\'(67.8-71.7]\'','\'(-inf-11.9]\'','\'(1.9-2.2]\'',55.66
'\'(4.2-5]\'','\'(75.6-79.5]\'','\'(21.4-23.3]\'','\'(-inf-1.3]\'',72.64
'\'(3.4-4.2]\'','\'(67.8-71.7]\'','\'(21.4-23.3]\'','\'(3.7-inf)\'',78.42
'\'(2.6-3.4]\'','\'(79.5-83.4]\'','\'(-inf-11.9]\'','\'(3.7-inf)\'',64.53
'\'(5.8-6.6]\'','\'(67.8-71.7]\'','\'(11.9-13.8]\'','\'(-inf-1.3]\'',54.03
'\'(1.8-2.6]\'','\'(71.7-75.6]\'','\'(13.8-15.7]\'','\'(2.8-3.1]\'',62.91
'\'(2.6-3.4]\'','\'(83.4-87.3]\'','\'(13.8-15.7]\'','\'(3.7-inf)\'',67.7
'\'(4.2-5]\'','\'(75.6-79.5]\'','\'(11.9-13.8]\'','\'(1.9-2.2]\'',58.18
'\'(8.2-inf)\'','\'(91.2-95.1]\'','\'(-inf-11.9]\'','\'(-inf-1.3]\'',63.22
'\'(1.8-2.6]\'','\'(63.9-67.8]\'','\'(11.9-13.8]\'','\'(1.9-2.2]\'',56.63
'\'(7.4-8.2]\'','\'(87.3-91.2]\'','\'(27.1-inf)\'','\'(1.9-2.2]\'',100
'\'(1.8-2.6]\'','\'(87.3-91.2]\'','\'(-inf-11.9]\'','\'(2.8-3.1]\'',61.19
'\'(4.2-5]\'','\'(75.6-79.5]\'','\'(13.8-15.7]\'','\'(1.9-2.2]\'',56.93
'\'(6.6-7.4]\'','\'(63.9-67.8]\'','\'(11.9-13.8]\'','\'(2.8-3.1]\'',58.71
'\'(7.4-8.2]\'','\'(75.6-79.5]\'','\'(17.6-19.5]\'','\'(3.7-inf)\'',78.94
'\'(-inf-1.8]\'','\'(75.6-79.5]\'','\'(27.1-inf)\'','\'(-inf-1.3]\'',84.22
'\'(5.8-6.6]\'','\'(79.5-83.4]\'','\'(13.8-15.7]\'','\'(1.9-2.2]\'',67.57
'\'(-inf-1.8]\'','\'(95.1-inf)\'','\'(25.2-27.1]\'','\'(-inf-1.3]\'',76.46
'\'(1.8-2.6]\'','\'(87.3-91.2]\'','\'(13.8-15.7]\'','\'(1.9-2.2]\'',55.43
'\'(-inf-1.8]\'','\'(-inf-63.9]\'','\'(27.1-inf)\'','\'(-inf-1.3]\'',66.82
'\'(4.2-5]\'','\'(83.4-87.3]\'','\'(19.5-21.4]\'','\'(1.9-2.2]\'',71.44
'\'(8.2-inf)\'','\'(67.8-71.7]\'','\'(19.5-21.4]\'','\'(1.9-2.2]\'',73.68
'\'(5.8-6.6]\'','\'(91.2-95.1]\'','\'(-inf-11.9]\'','\'(1.9-2.2]\'',67.3
'\'(-inf-1.8]\'','\'(87.3-91.2]\'','\'(23.3-25.2]\'','\'(1.9-2.2]\'',72.39
'\'(-inf-1.8]\'','\'(71.7-75.6]\'','\'(19.5-21.4]\'','\'(1.9-2.2]\'',74.2
'\'(1.8-2.6]\'','\'(91.2-95.1]\'','\'(19.5-21.4]\'','\'(1.9-2.2]\'',78.49
'\'(8.2-inf)\'','\'(63.9-67.8]\'','\'(17.6-19.5]\'','\'(1.9-2.2]\'',71.76
'\'(2.6-3.4]\'','\'(67.8-71.7]\'','\'(-inf-11.9]\'','\'(1.9-2.2]\'',49.22
'\'(-inf-1.8]\'','\'(87.3-91.2]\'','\'(11.9-13.8]\'','\'(1.9-2.2]\'',63.61
'\'(4.2-5]\'','\'(79.5-83.4]\'','\'(19.5-21.4]\'','\'(-inf-1.3]\'',81.3
'\'(6.6-7.4]\'','\'(87.3-91.2]\'','\'(23.3-25.2]\'','\'(2.8-3.1]\'',80.03
'\'(5.8-6.6]\'','\'(79.5-83.4]\'','\'(-inf-11.9]\'','\'(1.9-2.2]\'',62.36
'\'(-inf-1.8]\'','\'(75.6-79.5]\'','\'(11.9-13.8]\'','\'(2.8-3.1]\'',54.94
'\'(4.2-5]\'','\'(95.1-inf)\'','\'(27.1-inf)\'','\'(1.9-2.2]\'',95.55
'\'(4.2-5]\'','\'(-inf-63.9]\'','\'(-inf-11.9]\'','\'(1.9-2.2]\'',65.11
'\'(5.8-6.6]\'','\'(83.4-87.3]\'','\'(17.6-19.5]\'','\'(-inf-1.3]\'',70.18
'\'(2.6-3.4]\'','\'(75.6-79.5]\'','\'(27.1-inf)\'','\'(3.7-inf)\'',76.4
'\'(4.2-5]\'','\'(79.5-83.4]\'','\'(23.3-25.2]\'','\'(3.7-inf)\'',88.8
'\'(6.6-7.4]\'','\'(87.3-91.2]\'','\'(25.2-27.1]\'','\'(-inf-1.3]\'',96.25
'\'(4.2-5]\'','\'(91.2-95.1]\'','\'(19.5-21.4]\'','\'(2.8-3.1]\'',79.48
'\'(4.2-5]\'','\'(91.2-95.1]\'','\'(23.3-25.2]\'','\'(3.7-inf)\'',86.87
'\'(4.2-5]\'','\'(91.2-95.1]\'','\'(25.2-27.1]\'','\'(-inf-1.3]\'',82.81
'\'(2.6-3.4]\'','\'(-inf-63.9]\'','\'(13.8-15.7]\'','\'(-inf-1.3]\'',57.05
'\'(-inf-1.8]\'','\'(71.7-75.6]\'','\'(19.5-21.4]\'','\'(3.7-inf)\'',68.43
'\'(4.2-5]\'','\'(91.2-95.1]\'','\'(19.5-21.4]\'','\'(2.8-3.1]\'',82.04
'\'(8.2-inf)\'','\'(91.2-95.1]\'','\'(23.3-25.2]\'','\'(-inf-1.3]\'',90.14
'\'(-inf-1.8]\'','\'(63.9-67.8]\'','\'(11.9-13.8]\'','\'(1.9-2.2]\'',49.12
'\'(2.6-3.4]\'','\'(95.1-inf)\'','\'(-inf-11.9]\'','\'(2.8-3.1]\'',66.41
'\'(3.4-4.2]\'','\'(67.8-71.7]\'','\'(27.1-inf)\'','\'(2.8-3.1]\'',82.91
'\'(-inf-1.8]\'','\'(-inf-63.9]\'','\'(23.3-25.2]\'','\'(3.7-inf)\'',70.95
'\'(-inf-1.8]\'','\'(75.6-79.5]\'','\'(-inf-11.9]\'','\'(3.7-inf)\'',60.59
'\'(7.4-8.2]\'','\'(95.1-inf)\'','\'(-inf-11.9]\'','\'(1.9-2.2]\'',67.27
'\'(1.8-2.6]\'','\'(79.5-83.4]\'','\'(11.9-13.8]\'','\'(-inf-1.3]\'',49.1
'\'(7.4-8.2]\'','\'(71.7-75.6]\'','\'(15.7-17.6]\'','\'(3.7-inf)\'',72.4
'\'(6.6-7.4]\'','\'(91.2-95.1]\'','\'(23.3-25.2]\'','\'(3.7-inf)\'',96.85
'\'(1.8-2.6]\'','\'(91.2-95.1]\'','\'(15.7-17.6]\'','\'(2.8-3.1]\'',68.17
'\'(5.8-6.6]\'','\'(83.4-87.3]\'','\'(13.8-15.7]\'','\'(3.7-inf)\'',68.43
'\'(5.8-6.6]\'','\'(63.9-67.8]\'','\'(17.6-19.5]\'','\'(3.7-inf)\'',78.37
'\'(2.6-3.4]\'','\'(91.2-95.1]\'','\'(27.1-inf)\'','\'(3.7-inf)\'',90.22
'\'(1.8-2.6]\'','\'(87.3-91.2]\'','\'(-inf-11.9]\'','\'(3.7-inf)\'',56.34
'\'(-inf-1.8]\'','\'(79.5-83.4]\'','\'(15.7-17.6]\'','\'(2.8-3.1]\'',63.62
'\'(5.8-6.6]\'','\'(71.7-75.6]\'','\'(11.9-13.8]\'','\'(1.9-2.2]\'',69.29
'\'(4.2-5]\'','\'(71.7-75.6]\'','\'(11.9-13.8]\'','\'(1.9-2.2]\'',59.43
'\'(8.2-inf)\'','\'(-inf-63.9]\'','\'(23.3-25.2]\'','\'(-inf-1.3]\'',82.68
'\'(-inf-1.8]\'','\'(95.1-inf)\'','\'(13.8-15.7]\'','\'(3.7-inf)\'',71.94
'\'(6.6-7.4]\'','\'(63.9-67.8]\'','\'(23.3-25.2]\'','\'(2.8-3.1]\'',83.92
'\'(4.2-5]\'','\'(95.1-inf)\'','\'(11.9-13.8]\'','\'(-inf-1.3]\'',70.96
'\'(4.2-5]\'','\'(71.7-75.6]\'','\'(21.4-23.3]\'','\'(-inf-1.3]\'',70.36
'\'(1.8-2.6]\'','\'(95.1-inf)\'','\'(27.1-inf)\'','\'(1.9-2.2]\'',81.68
'\'(2.6-3.4]\'','\'(83.4-87.3]\'','\'(21.4-23.3]\'','\'(2.8-3.1]\'',72.89
'\'(6.6-7.4]\'','\'(75.6-79.5]\'','\'(11.9-13.8]\'','\'(2.8-3.1]\'',68.98
'\'(5.8-6.6]\'','\'(-inf-63.9]\'','\'(19.5-21.4]\'','\'(2.8-3.1]\'',69.56
'\'(1.8-2.6]\'','\'(95.1-inf)\'','\'(25.2-27.1]\'','\'(1.9-2.2]\'',83.14
'\'(5.8-6.6]\'','\'(63.9-67.8]\'','\'(15.7-17.6]\'','\'(1.9-2.2]\'',65.88
'\'(1.8-2.6]\'','\'(75.6-79.5]\'','\'(17.6-19.5]\'','\'(1.9-2.2]\'',68.89
'\'(1.8-2.6]\'','\'(83.4-87.3]\'','\'(11.9-13.8]\'','\'(1.9-2.2]\'',58.66
'\'(1.8-2.6]\'','\'(83.4-87.3]\'','\'(21.4-23.3]\'','\'(1.9-2.2]\'',71.02
'\'(2.6-3.4]\'','\'(-inf-63.9]\'','\'(23.3-25.2]\'','\'(3.7-inf)\'',77.35
'\'(1.8-2.6]\'','\'(91.2-95.1]\'','\'(25.2-27.1]\'','\'(3.7-inf)\'',82.55
'\'(3.4-4.2]\'','\'(95.1-inf)\'','\'(27.1-inf)\'','\'(2.8-3.1]\'',91.11
'\'(8.2-inf)\'','\'(63.9-67.8]\'','\'(-inf-11.9]\'','\'(-inf-1.3]\'',61.3
'\'(5.8-6.6]\'','\'(-inf-63.9]\'','\'(13.8-15.7]\'','\'(2.8-3.1]\'',65.65
'\'(-inf-1.8]\'','\'(95.1-inf)\'','\'(-inf-11.9]\'','\'(-inf-1.3]\'',57.78
'\'(7.4-8.2]\'','\'(67.8-71.7]\'','\'(21.4-23.3]\'','\'(1.9-2.2]\'',78.58
'\'(6.6-7.4]\'','\'(91.2-95.1]\'','\'(13.8-15.7]\'','\'(-inf-1.3]\'',78.26
'\'(2.6-3.4]\'','\'(79.5-83.4]\'','\'(21.4-23.3]\'','\'(2.8-3.1]\'',86.71
'\'(-inf-1.8]\'','\'(87.3-91.2]\'','\'(11.9-13.8]\'','\'(2.8-3.1]\'',52.99
'\'(4.2-5]\'','\'(67.8-71.7]\'','\'(15.7-17.6]\'','\'(-inf-1.3]\'',57.92
'\'(3.4-4.2]\'','\'(67.8-71.7]\'','\'(11.9-13.8]\'','\'(3.7-inf)\'',61.92
'\'(7.4-8.2]\'','\'(-inf-63.9]\'','\'(27.1-inf)\'','\'(1.9-2.2]\'',85.32
'\'(-inf-1.8]\'','\'(71.7-75.6]\'','\'(21.4-23.3]\'','\'(1.9-2.2]\'',77.88
'\'(-inf-1.8]\'','\'(71.7-75.6]\'','\'(27.1-inf)\'','\'(2.8-3.1]\'',81.6
'\'(3.4-4.2]\'','\'(67.8-71.7]\'','\'(25.2-27.1]\'','\'(3.7-inf)\'',89.66
'\'(7.4-8.2]\'','\'(87.3-91.2]\'','\'(15.7-17.6]\'','\'(-inf-1.3]\'',65.15
'\'(4.2-5]\'','\'(67.8-71.7]\'','\'(21.4-23.3]\'','\'(1.9-2.2]\'',79.27
'\'(1.8-2.6]\'','\'(67.8-71.7]\'','\'(13.8-15.7]\'','\'(3.7-inf)\'',59.22
'\'(5.8-6.6]\'','\'(87.3-91.2]\'','\'(23.3-25.2]\'','\'(1.9-2.2]\'',82.54
'\'(4.2-5]\'','\'(-inf-63.9]\'','\'(27.1-inf)\'','\'(3.7-inf)\'',83.76
